participant,carbonara_1,carbonara_2,carbonara_3,carbonara_4,carbonara_5,ramen_1,ramen_2,ramen_3,ramen_4,ramen_5,fritto_misto_1,fritto_misto_2,fritto_misto_3,fritto_misto_4,fritto_misto_5,tiramisu_1,tiramisu_2,tiramisu_3,tiramisu_4,tiramisu_5,budino_1,budino_2,budino_3,budino_4,budino_5,vellutata_di_zucca_1,vellutata_di_zucca_2,vellutata_di_zucca_3,vellutata_di_zucca_4,vellutata_di_zucca_5,mela_alla_cannella_1,mela_alla_cannella_2,mela_alla_cannella_3,mela_alla_cannella_4,mela_alla_cannella_5,torta_ai_frutti_di_bosco_1,torta_ai_frutti_di_bosco_2,torta_ai_frutti_di_bosco_3,torta_ai_frutti_di_bosco_4,torta_ai_frutti_di_bosco_5,pompelmo_1,pompelmo_2,pompelmo_3,pompelmo_4,pompelmo_5,pomodoro_1,pomodoro_2,pomodoro_3,pomodoro_4,pomodoro_5,spremuta_arancia_1,spremuta_arancia_2,spremuta_arancia_3,spremuta_arancia_4,spremuta_arancia_5,cioccolato_fondente_1,cioccolato_fondente_2,cioccolato_fondente_3,cioccolato_fondente_4,cioccolato_fondente_5,radicchio_1,radicchio_2,radicchio_3,radicchio_4,radicchio_5,rucola_1,rucola_2,rucola_3,rucola_4,rucola_5,te_verde_1,te_verde_2,te_verde_3,te_verde_4,te_verde_5,salsa_agropiccante_1,salsa_agropiccante_2,salsa_agropiccante_3,salsa_agropiccante_4,salsa_agropiccante_5,pollo_al_curry_1,pollo_al_curry_2,pollo_al_curry_3,pollo_al_curry_4,pollo_al_curry_5,diavola_1,diavola_2,diavola_3,diavola_4,diavola_5,salsa_wasabi_1,salsa_wasabi_2,salsa_wasabi_3,salsa_wasabi_4,salsa_wasabi_5,cioccolato_al_latte_1,cioccolato_al_latte_2,cioccolato_al_latte_3,cioccolato_al_latte_4,cioccolato_al_latte_5,gender,ethnicity,age,hearing_experience,eating_experience,hearing_impairments,taste_impairments,device,CLIENT_start,TIME_start,TIME_end,TIME_total
s.0003276e-649a-4fd4-8de3-c710a172f6ba.txt,"","","","","","","","","","",1,6,1,3,2,3,1,1,1,1,"","","","","","","","","","",1,3,1,4,1,"","","","","",5,1,1,3,1,"","","","","","","","","","",1,3,2,4,1,1,1,1,7,1,"","","","","",3,2,1,3,1,4,4,2,1,2,3,1,7,1,1,4,7,1,1,1,"","","","","","","","","","",2,9,24,2,3,1,2,1,2026-01-14-14-25,2026-01-14-13-25,2026-01-14-16-06,161
s.0061c16c-dd4e-4ec4-81f7-c47e3c1ca48c.txt,1,3,1,1,1,1,1,5,1,1,1,3,1,1,1,"","","","","",1,1,1,1,1,"","","","","","","","","","","","","","","",1,1,3,1,5,1,1,1,1,4,"","","","","","","","","","",1,1,1,1,4,"","","","","",1,1,1,3,1,2,1,1,1,1,"","","","","","","","","","","","","","","",1,1,1,1,1,2,9,57,3,3,2,1,4,2026-01-15-21-47,2026-01-15-20-47,2026-01-15-20-53,6
s.010b5e89-6ed1-46ba-a220-4c93acde0a82.txt,5,1,5,1,7,"","","","","","","","","","","","","","","",5,1,1,1,4,4,1,1,1,5,1,1,1,5,1,1,6,1,1,1,1,1,6,1,1,1,1,5,1,7,"","","","","","","","","","","","","","","",4,1,1,3,1,1,1,1,6,1,"","","","","",1,1,6,1,7,"","","","","","","","","","","","","","","",2,6,55,2,2,2,2,2,2026-01-16-10-07,2026-01-16-09-07,2026-01-16-09-12,5
s.043ce085-9c8f-49f0-9256-f60b357c9660.txt,"","","","","",2,4,1,3,6,"","","","","","","","","","","","","","","",1,2,4,4,1,1,2,1,1,1,"","","","","",4,1,6,6,7,"","","","","",1,3,4,4,6,"","","","","",3,1,6,5,5,3,2,4,5,4,2,1,5,6,5,4,1,3,2,1,"","","","","",1,5,3,1,4,"","","","","","","","","","",2,9,52,3,3,2,2,2,2026-01-15-20-57,2026-01-15-19-57,2026-01-15-20-08,11
s.0d8c7721-39f2-4ba3-948f-29b6798eac01.txt,"","","","","","","","","","",5,1,1,1,2,1,7,1,1,1,"","","","","","","","","","",5,5,1,1,1,3,5,1,1,2,"","","","","","","","","","",4,3,1,1,2,"","","","","",1,1,3,6,1,"","","","","",1,1,1,7,1,"","","","","",1,1,6,1,1,4,1,1,1,5,7,1,7,1,4,"","","","","",2,9,54,3,2,2,2,2,2026-01-23-14-00,2026-01-23-13-00,2026-01-23-13-09,9
s.0d96a025-12f7-49c1-81e5-70c7b5a90f2e.txt,"","","","","",1,4,1,1,7,"","","","","","","","","","",1,6,1,1,1,6,1,1,1,1,1,5,1,5,1,6,1,7,6,1,7,1,6,5,1,"","","","","","","","","","",1,1,1,4,3,"","","","","","","","","","",3,1,1,7,4,3,1,6,6,4,"","","","","","","","","","","","","","","",1,7,1,1,4,2,9,24,3,3,2,2,2,2026-01-14-13-30,2026-01-14-12-30,2026-01-14-12-34,4
s.11088113-82bc-4e69-85ac-dbbd3881f1d5.txt,4,2,2,2,5,5,2,2,1,2,3,1,2,2,2,"","","","","",2,4,1,1,1,"","","","","","","","","","","","","","","",1,1,3,1,1,3,1,3,2,2,"","","","","",3,3,1,3,1,2,3,3,6,2,"","","","","",1,2,2,4,1,"","","","","","","","","","","","","","","",1,1,1,1,1,"","","","","",1,9,23,3,2,2,2,2,2026-01-14-19-11,2026-01-14-18-11,2026-01-14-18-17,6
s.1571187f-b0c9-459f-8ad8-929c47594e15.txt,"","","","","","","","","","","","","","","","","","","","",4,3,3,3,4,1,7,1,1,3,"","","","","","","","","","","","","","","",3,1,6,5,5,2,5,2,2,2,"","","","","","","","","","",3,3,3,3,2,2,3,2,5,3,4,3,5,3,5,3,1,5,5,5,4,4,5,6,5,4,1,5,3,6,"","","","","",2,9,58,3,3,2,2,2,2026-01-17-16-28,2026-01-17-15-28,2026-01-17-15-34,6
s.18bec1e1-5953-48d6-8365-cf2bc148e64a.txt,5,4,2,2,5,5,3,1,2,4,"","","","","","","","","","","","","","","",3,5,1,3,1,1,5,3,3,3,"","","","","","","","","","","","","","","",5,3,1,3,3,"","","","","",1,1,2,6,3,3,3,3,3,3,"","","","","","","","","","",1,1,6,3,4,5,5,3,4,3,"","","","","",1,6,1,3,1,1,9,59,2,2,2,2,2,2026-01-15-20-44,2026-01-15-19-44,2026-01-15-19-53,9
s.1a2ab095-acef-4d34-942f-03debcbdb9e3.txt,3,4,3,3,6,"","","","","","","","","","",3,3,3,3,4,"","","","","","","","","","",3,3,3,3,6,"","","","","",3,3,6,4,5,4,3,7,4,4,3,6,3,4,3,5,3,3,4,5,3,3,3,6,5,"","","","","","","","","","","","","","","",6,2,2,3,3,5,2,2,2,5,"","","","","","","","","","",2,6,95,3,3,2,2,2,2026-01-14-16-57,2026-01-14-15-57,2026-01-14-16-05,8
s.1acb7af1-d6db-4db7-9dc1-cae92c474c6d.txt,1,5,1,1,4,"","","","","",6,4,5,1,6,1,7,1,4,1,4,5,3,6,3,1,4,1,5,1,"","","","","",1,5,2,7,5,1,1,5,3,6,"","","","","","","","","","","","","","","","","","","","","","","","","",1,4,1,7,1,5,1,6,3,6,"","","","","",4,1,5,6,4,"","","","","","","","","","",2,9,55,3,3,2,2,2,2026-01-16-15-14,2026-01-16-14-14,2026-01-16-14-24,10
s.1f91f951-9c96-46e5-9ee5-395fff5f99ca.txt,"","","","","",5,4,2,2,2,"","","","","",1,1,1,1,1,3,4,1,3,1,"","","","","",2,4,4,2,1,"","","","","","","","","","",3,4,2,3,2,"","","","","","","","","","","","","","","","","","","","",1,1,1,1,1,4,2,2,3,5,3,2,4,1,1,"","","","","",2,1,5,5,1,1,1,1,1,1,2,9,24,2,3,2,2,1,2026-01-14-18-41,2026-01-14-17-41,2026-01-14-17-48,7
s.2be715cc-fb27-4d9c-b9c3-fc3047dfad3c.txt,"","","","","","","","","","",3,4,1,1,3,1,6,1,1,1,4,3,3,1,1,"","","","","","","","","","","","","","","","","","","","",4,1,5,1,1,"","","","","",5,1,1,4,1,"","","","","",4,3,3,1,1,3,1,1,6,1,5,1,3,1,4,5,1,7,3,5,"","","","","","","","","","",1,6,1,1,1,2,9,57,3,2,2,2,2,2026-01-16-11-29,2026-01-16-10-29,2026-01-16-10-37,8
s.2c4241cc-634d-4300-b4cb-79e05c7bda87.txt,"","","","","","","","","","",5,3,1,3,7,3,5,1,7,2,5,4,1,3,4,3,4,2,6,3,"","","","","",3,5,1,2,4,6,1,5,5,1,5,3,5,3,4,4,5,2,3,4,"","","","","",5,3,2,6,3,"","","","","","","","","","","","","","","",4,3,5,6,1,"","","","","","","","","","","","","","","",1,9,27,3,2,2,2,1,2026-01-18-12-13,2026-01-18-11-13,2026-01-18-11-18,5
s.2d3b9e83-2a64-4b7c-b337-f2f34844b755.txt,4,2,2,5,4,5,3,5,4,7,5,1,1,1,5,1,7,1,1,1,1,3,1,1,1,1,7,1,3,1,"","","","","",1,5,4,3,1,5,1,1,3,7,"","","","","","","","","","","","","","","","","","","","",6,6,3,3,1,"","","","","","","","","","","","","","","","","","","","",3,1,6,3,1,"","","","","",2,9,54,3,3,2,2,2,2026-01-14-18-49,2026-01-14-17-49,2026-01-14-18-01,12
s.2e07c8b2-aff6-475d-b129-a4830e2bda27.txt,5,4,2,2,5,"","","","","",6,2,1,2,5,1,5,3,7,1,"","","","","","","","","","","","","","","",2,6,2,3,1,"","","","","",4,2,5,3,2,"","","","","","","","","","",1,1,3,7,1,"","","","","","","","","","",4,1,6,4,4,"","","","","",6,3,1,1,5,3,1,4,5,4,2,7,2,4,1,2,9,24,2,3,2,2,2,2026-01-14-16-49,2026-01-14-15-49,2026-01-14-15-55,6
